Variavel_Modelo,Coeficiente,AbsCoef,Variavel_Original
LIMIT_BAL,0.10024101520267553,0.10024101520267553,LIMIT_BAL
SEXFeminino,0.07376571408295401,0.07376571408295401,SEX
EDUCATIONUniversidade,0.034493957442553055,0.034493957442553055,EDUCATION
EDUCATIONEnsinoMedio,0.023185977129592618,0.023185977129592618,EDUCATION
EDUCATIONOutros,0.13642094845277347,0.13642094845277347,EDUCATION
MARRIAGESolteiro,0.07530652753761731,0.07530652753761731,MARRIAGE
MARRIAGEOutros,0.012345448685992234,0.012345448685992234,MARRIAGE
AGE,-0.059383032115582754,0.059383032115582754,AGE
PAY_0,-0.6503484330461735,0.6503484330461735,PAY_0
PAY_2,-0.10523020768007788,0.10523020768007788,PAY_2
PAY_3,-0.08975440923698731,0.08975440923698731,PAY_3
PAY_4,-0.02290806486353493,0.02290806486353493,PAY_4
PAY_5,-0.057685471318343305,0.057685471318343305,PAY_5
PAY_6,0,0,PAY_6
BILL_AMT1,0.24337578168720522,0.24337578168720522,BILL_AMT1
BILL_AMT2,-0.0046572212405466265,0.0046572212405466265,BILL_AMT2
BILL_AMT3,-0.10127421406601936,0.10127421406601936,BILL_AMT3
BILL_AMT4,0,0,BILL_AMT4
BILL_AMT5,-0.048911386516063055,0.048911386516063055,BILL_AMT5
BILL_AMT6,0,0,BILL_AMT6
PAY_AMT1,0.15156241241283186,0.15156241241283186,PAY_AMT1
PAY_AMT2,0.2045545822900814,0.2045545822900814,PAY_AMT2
PAY_AMT3,0.04509915145967992,0.04509915145967992,PAY_AMT3
PAY_AMT4,0.08073136272366815,0.08073136272366815,PAY_AMT4
PAY_AMT5,0.03778111601445709,0.03778111601445709,PAY_AMT5
PAY_AMT6,0.03491704418145984,0.03491704418145984,PAY_AMT6
