Variavel_Original,Importancia,Posicao
PAY_0,0.6503484330461735,1
BILL_AMT1,0.24337578168720522,2
PAY_AMT2,0.2045545822900814,3
PAY_AMT1,0.15156241241283186,4
EDUCATION,0.13642094845277347,5
PAY_2,0.10523020768007788,6
BILL_AMT3,0.10127421406601936,7
LIMIT_BAL,0.10024101520267553,8
PAY_3,0.08975440923698731,9
PAY_AMT4,0.08073136272366815,10
MARRIAGE,0.07530652753761731,11
SEX,0.07376571408295401,12
AGE,0.059383032115582754,13
PAY_5,0.057685471318343305,14
BILL_AMT5,0.048911386516063055,15
PAY_AMT3,0.04509915145967992,16
PAY_AMT5,0.03778111601445709,17
PAY_AMT6,0.03491704418145984,18
PAY_4,0.02290806486353493,19
BILL_AMT2,0.0046572212405466265,20
BILL_AMT4,0,21
BILL_AMT6,0,22
PAY_6,0,23
