Variavel_Modelo,Coeficiente,AbsCoef,Variavel_Original
LIMIT_BAL,0.09133181449411333,0.09133181449411333,LIMIT_BAL
SEXFeminino,0.07127516597145447,0.07127516597145447,SEX
EDUCATIONUniversidade,0.03741578030042014,0.03741578030042014,EDUCATION
EDUCATIONEnsinoMedio,0.0327483338574485,0.0327483338574485,EDUCATION
EDUCATIONOutros,0.136271142929129,0.136271142929129,EDUCATION
MARRIAGESolteiro,0.08637917715590769,0.08637917715590769,MARRIAGE
MARRIAGEOutros,0.017907200606795088,0.017907200606795088,MARRIAGE
AGE,-0.06291148939387729,0.06291148939387729,AGE
PAY_0,-0.6501322959198237,0.6501322959198237,PAY_0
PAY_2,-0.11123551281406224,0.11123551281406224,PAY_2
PAY_3,-0.07546137055277019,0.07546137055277019,PAY_3
PAY_4,-0.031578603433163405,0.031578603433163405,PAY_4
PAY_5,-0.04801120980443648,0.04801120980443648,PAY_5
PAY_6,0,0,PAY_6
BILL_AMT1,0.2542157070301031,0.2542157070301031,BILL_AMT1
BILL_AMT2,-0.001364470954388619,0.001364470954388619,BILL_AMT2
BILL_AMT3,-0.07524307940287976,0.07524307940287976,BILL_AMT3
BILL_AMT4,0,0,BILL_AMT4
BILL_AMT5,-0.06977127930702094,0.06977127930702094,BILL_AMT5
BILL_AMT6,0,0,BILL_AMT6
PAY_AMT1,0.14304659192666988,0.14304659192666988,PAY_AMT1
PAY_AMT2,0.16884361923040947,0.16884361923040947,PAY_AMT2
PAY_AMT3,0.04779108010978411,0.04779108010978411,PAY_AMT3
PAY_AMT4,0.06917159884606683,0.06917159884606683,PAY_AMT4
PAY_AMT5,0.04020724555916022,0.04020724555916022,PAY_AMT5
PAY_AMT6,0.04318375419993641,0.04318375419993641,PAY_AMT6
