TopN,ROC,Sens,Spec,parameter,ROCSD,SensSD,SpecSD,Variaveis
1,0.6907628500060606,0.33113420744057137,0.9591267027750835,none,0.011516526993554117,0.015435367614168822,0.004335495035153499,PAY_0
2,0.7009079620992124,0.2691635575453932,0.9677402482954367,none,0.015843783421497618,0.01552844544725346,0.002596804350825117,"PAY_0, BILL_AMT1"
3,0.706901800485624,0.2701062431155172,0.96768674374755,none,0.01596223425584632,0.015100746660609335,0.002561777758063185,"PAY_0, BILL_AMT1, PAY_AMT2"
4,0.7088106391043404,0.2674697082755925,0.9683287697101313,none,0.016027400526227944,0.014022879191724858,0.0028726214116703663,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1"
5,0.7117697671574138,0.2682237146004335,0.9680612469706984,none,0.016414058147283417,0.014509638673937767,0.002875769824819307,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION"
6,0.7176889312401633,0.22470845325658245,0.9739457744282596,none,0.016397681091134715,0.01359719935904217,0.0027658071637930294,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2"
7,0.7215069149254119,0.2378936147532246,0.9727154273353876,none,0.016469541102171678,0.01628333865551893,0.002942503087877628,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL"
8,0.7220672316237476,0.23883630032334863,0.9730363973985917,none,0.015640146789271538,0.017968433844322194,0.0025887538235280865,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL, MARRIAGE"
9,0.7236670028781187,0.23940127207476103,0.9725013233076683,none,0.01670907332529612,0.019394058008348383,0.0029023370933594604,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL, MARRIAGE, PAY_3"
10,0.7249975000358195,0.23940162740290657,0.9727687888229858,none,0.016681734047894168,0.018418688184465154,0.0027011596399673776,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL, MARRIAGE, PAY_3, BILL_AMT3"
11,0.7265256629230945,0.24712468464627083,0.9711105484073098,none,0.01701672153123298,0.017797937968385243,0.0029739279455830666,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL, MARRIAGE, PAY_3, BILL_AMT3, SEX"
12,0.7264479872381671,0.2465597128948584,0.9711105484073098,none,0.016988909028803664,0.01794610094843997,0.003005843730994063,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL, MARRIAGE, PAY_3, BILL_AMT3, SEX, BILL_AMT5"
