TopN,Modelo,ROC,Sens,Spec,Precision,F1,GMean,parameter,ROCSD,SensSD,SpecSD,PrecisionSD,F1SD,GMeanSD,Variaveis,Usa_SMOTENC,Fase_Protocolo,CV_Folds,CV_Repeats
1,GLM,0.6926761670715557,0.3338375175063949,0.9596453683888719,0.701718915702662,0.45224348932371145,0.5658970278293258,none,0.020649429998260915,0.014119351968853529,0.002916353413075326,0.00924228462309036,0.012057280590296517,0.011097326497922744,PAY_0,FALSE,exploratorio,5,1
2,GLM,0.7026466518039921,0.2776575575540817,0.9669825741363498,0.7051179894679014,0.3983826283811444,0.5181454524989175,none,0.02154009151473258,0.004385005029433846,0.002129071885842885,0.012202324189548015,0.004524803523917144,0.0038700819759409943,"PAY_0, BILL_AMT1",FALSE,exploratorio,5,1
3,GLM,0.7087164795736313,0.2763649200782435,0.9669825741363498,0.7041236165573308,0.396872157645262,0.5169122204715356,none,0.02124530446523761,0.007538670426896539,0.002287775840277554,0.014096502819898509,0.008399532096918485,0.0069184871085764136,"PAY_0, BILL_AMT1, PAY_AMT2",FALSE,exploratorio,5,1
4,GLM,0.710431077114824,0.2711994629443152,0.9675328645674106,0.7036997437933431,0.3914280579819864,0.512190740170055,none,0.021043997379306675,0.008409967658210941,0.0021768245941813373,0.01129049678646203,0.008672120844144305,0.0076153627275795605,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1",FALSE,exploratorio,5,1
5,GLM,0.7133586564184112,0.27184578168223433,0.9677162947110975,0.7052974628139971,0.39237547755589425,0.512862869133521,none,0.020128660975258436,0.0073565932247397665,0.0017374836121531799,0.009530077442015821,0.007735083581405313,0.006689027077362062,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION",FALSE,exploratorio,5,1
6,GLM,0.7188921186194335,0.23051911524705718,0.973219199021706,0.7099265416493472,0.3480019256576717,0.47361475308553647,none,0.01986612581017312,0.006659976281578578,0.002354218686417433,0.02178777978528834,0.009575910153366741,0.00716401621343327,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2",FALSE,exploratorio,5,1
7,GLM,0.7217681353487727,0.23590032061298424,0.9731580556404769,0.7139086277717042,0.35456748133924865,0.4790277834941519,none,0.019851834378195002,0.0111026246355089,0.0019977143690253327,0.021514046700240583,0.01462145242943621,0.011597236678279119,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3",FALSE,exploratorio,5,1
8,GLM,0.7252033626403948,0.2498908526916444,0.9713237542036074,0.7123636936161687,0.3698848704826249,0.4925788444730021,none,0.019461342936683043,0.010592791704893101,0.0018520490652229715,0.011124926205426768,0.011810594123247394,0.010133920202177854,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL",FALSE,exploratorio,5,1
9,GLM,0.7266010372648339,0.24407838235123905,0.9724854784469581,0.7158256175766802,0.3638712025643173,0.4870306621356349,none,0.019079004916123944,0.014046433951094015,0.0015285845307245528,0.008241202261975892,0.016051709017574134,0.013729611558568798,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3",FALSE,exploratorio,5,1
10,GLM,0.7272481487004314,0.24235586883803836,0.972730051971874,0.7161559982046359,0.36201280943806585,0.4853773787394232,none,0.019089832168978624,0.013719262111711185,0.0013909279322626047,0.009439235655580542,0.015954098627702067,0.01350264595471065,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4",FALSE,exploratorio,5,1
