TopN,Modelo,ROC,Sens,Spec,Precision,F1,GMean,parameter,ROCSD,SensSD,SpecSD,PrecisionSD,F1SD,GMeanSD,Variaveis,Usa_SMOTENC,Fase_Protocolo,CV_Folds,CV_Repeats
13,GLM,0.729300853492516,0.24730766114564165,0.9708957505350045,0.7070918567179793,0.36639946680689767,0.4899595640100761,none,0.01921317230079134,0.007811610725049098,0.0013569147674211241,0.009699689748863836,0.009157561907855865,0.007653949734587815,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE",FALSE,exploratorio,5,1
12,GLM,0.7292159297470993,0.25075153072444645,0.9712014674411494,0.7121554895056738,0.37083320592125857,0.49341584795701726,none,0.0194923425499299,0.00941346133110644,0.0018008775878964362,0.01291109883752175,0.011040864934091886,0.009178655020057052,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX",FALSE,exploratorio,5,1
14,GLM,0.7288699720220748,0.24967579892820352,0.9713237542036075,0.712059615200566,0.3696468048872189,0.49238780543062266,none,0.019937519757104383,0.009306285991089337,0.0010894851532378637,0.00632709379257906,0.01057212338431546,0.009003898736305044,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5",FALSE,exploratorio,5,1
17,GLM,0.7287471271653492,0.2494612081438013,0.9715071843472944,0.7132510514602692,0.36957543642726653,0.49223079668878894,none,0.02038239076220063,0.008765340408549423,0.0014241289757079914,0.00973176437023333,0.010065171140624838,0.00850032212966753,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5",FALSE,exploratorio,5,1
15,GLM,0.7287437817136351,0.25032165468708406,0.9713237542036075,0.7125860658675934,0.370423646862085,0.49302189978854166,none,0.019950892600657237,0.009483683805209845,0.0011107246789718564,0.006633266925345948,0.01078481272435031,0.009171431656779347,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5",FALSE,exploratorio,5,1
18,GLM,0.7286899380723781,0.24881581536395941,0.9715071843472944,0.7126902595910481,0.3687891935094354,0.4915916669148232,none,0.02050559601690207,0.008842897122845498,0.0010894851532378604,0.005320291526336648,0.009904359656449644,0.008521147794866244,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6",FALSE,exploratorio,5,1
19,GLM,0.7285475116509698,0.24860053011099922,0.9713848975848365,0.7116476406427249,0.3684182517987454,0.4913530914450674,none,0.020356963698731217,0.008493679630985289,0.0011958182339105838,0.0070670018665266385,0.009604850581748915,0.008211609242405596,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4",FALSE,exploratorio,5,1
16,GLM,0.7284970371694639,0.24967626190724215,0.9713848975848365,0.7125199966145153,0.36971272382073095,0.4924100389268127,none,0.020462824814177556,0.00887678770226774,0.001176116420768635,0.00698782629607659,0.010061747497308458,0.008581219696122931,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3",FALSE,exploratorio,5,1
20,GLM,0.7284864744251303,0.2486000671319606,0.9714460409660655,0.7120559180483905,0.36846863633316823,0.49135783572439606,none,0.020540302705093053,0.00922889699781826,0.0012152006673403508,0.008378324775153339,0.010650423804619308,0.008988037014827347,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4, BILL_AMT2",FALSE,exploratorio,5,1
22,GLM,0.7283601433546442,0.2486000671319606,0.9716294711097524,0.7134310271166843,0.36863881377390967,0.49140010511146226,none,0.02057824169471305,0.009446055634960811,0.001472527615871892,0.008864085071003685,0.010681730908056642,0.009131461759783901,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4, BILL_AMT2, BILL_AMT4, BILL_AMT6",FALSE,exploratorio,5,1
