Modelo,TopN,ROC,Sens,Spec,Precision,F1,GMean,mtry,ROCSD,SensSD,SpecSD,PrecisionSD,F1SD,GMeanSD,Variaveis,Usa_SMOTENC,Fase_Protocolo,CV_Folds,CV_Repeats,Origem,MelhorTopN_GLM,MelhorTopN_XGBoost,sigma,C,size,decay,bag
NNET,19,0.7756236641693293,0.3727965091380488,0.9466829715683277,0.6650450406858517,0.47769895645243265,0.593980820779079,NA,0.011213058560967193,0.014616393342047482,0.0021025678830999214,0.012377106350267642,0.014403215126624182,0.011604125003365334,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4",FALSE,exploratorio,5,1,Guiado_por_GLM_XGBoost,13,17,NA,NA,5,0.01,NA
NNET,15,0.7755518147339908,0.37322731113348845,0.9480281259553653,0.6709705945477593,0.47957845143912997,0.594750411734277,NA,0.01395854017656417,0.014261095875927296,0.002016341479405803,0.011997035608581877,0.014068513184329702,0.011329650459671005,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5",FALSE,exploratorio,5,1,Guiado_por_GLM_XGBoost,13,17,NA,NA,5,0.01,NA
NNET,12,0.7751280440469284,0.36526129379492345,0.9501070009171507,0.6755526678741475,0.4739643746335731,0.5889867607980578,NA,0.012282863715768748,0.01514437649227077,0.00392938404477156,0.014889762275948907,0.013204240575362782,0.01157095473035406,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX",FALSE,exploratorio,5,1,Guiado_por_GLM_XGBoost,13,17,NA,NA,5,0.001,NA
NNET,13,0.77474905359551,0.36504624003148256,0.9508407214918985,0.6782874633155093,0.474571272215263,0.5890544260648614,NA,0.013614288197173688,0.015203255044696249,0.002155249982514795,0.014427920270841804,0.015550438754625166,0.012293912969457555,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE",FALSE,exploratorio,5,1,Guiado_por_GLM_XGBoost,13,17,NA,NA,5,0.01,NA
NNET,14,0.7744589529256296,0.3770982788754239,0.949250993579945,0.6785834325879667,0.48461394786355033,0.598148015203567,NA,0.011748447688237008,0.018629510552360527,0.0035323203938524123,0.015861512990716274,0.01755311044201382,0.014475009987191551,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5",FALSE,exploratorio,5,1,Guiado_por_GLM_XGBoost,13,17,NA,NA,5,0.01,NA
NNET,16,0.7740821238687113,0.3762387582902184,0.9468664017120146,0.6680395572204751,0.48126153302352953,0.5967872476342351,NA,0.013069342465120959,0.013235261689252797,0.003098165957849758,0.012622846386017983,0.012108619272739287,0.010156634713340947,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3",FALSE,exploratorio,5,1,Guiado_por_GLM_XGBoost,13,17,NA,NA,5,0.01,NA
NNET,17,0.7715037099521672,0.36203363542715605,0.9501681442983797,0.6734327380044508,0.47066815637000425,0.5862490251061147,NA,0.01011327602268132,0.024216814921532843,0.003643037385451877,0.020225945694090836,0.023810951764341778,0.019338761453637127,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5",FALSE,exploratorio,5,1,Guiado_por_GLM_XGBoost,13,17,NA,NA,5,0.01,NA
NNET,11,0.7707632317730214,0.3493306480549093,0.9527973096912259,0.6779258194084462,0.46090727018578714,0.5768330076319512,NA,0.013324254336005979,0.012900861647469843,0.0035560540565198052,0.012316056438206748,0.011064585317650597,0.010039065993223784,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE",FALSE,exploratorio,5,1,Guiado_por_GLM_XGBoost,13,17,NA,NA,5,0.01,NA
NNET,18,0.7704548024905201,0.36504809194763704,0.9496789972485479,0.6734467517254867,0.4732713306669433,0.5886533498390484,NA,0.009740552367442997,0.017485535473444662,0.004133401108200701,0.018283822930041164,0.016925937534823743,0.013865378472630713,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6",FALSE,exploratorio,5,1,Guiado_por_GLM_XGBoost,13,17,NA,NA,5,0.01,NA
RF,18,0.7703204673390528,0.37817632556685993,0.9468052583307857,0.6687429763029514,0.48300040649309256,0.5982328049525487,3,0.01241114503662332,0.018799427089668364,0.0031102094083423964,0.016773886289591172,0.018305354052040885,0.014800142981555117,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6",FALSE,exploratorio,5,1,Guiado_por_GLM_XGBoost,13,17,NA,NA,NA,NA,NA
