TopN,Modelo,ROC,Sens,Spec,Precision,F1,GMean,nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,PRAUC,Accuracy,ROCSD,F1SD,GMeanSD,Variaveis,Usa_SMOTENC,Fase_Protocolo,CV_Folds,CV_Repeats
17,XGBoost,0.7858830904963336,0.37516395245205275,0.9499235707734638,0.6802729600284562,0.48344614512383854,0.5968132117729341,150,5,0.05,0,0.8,1,0.8,0.5594271307985117,0.8227704288094672,0.012625783519984682,0.018188046887587832,0.015019837157658839,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5",FALSE,exploratorio,5,1
20,XGBoost,0.7857685484418553,0.3715064180469229,0.9513298685417303,0.6846092270308114,0.48138396562593955,0.5943085461266372,100,5,0.05,0,0.8,1,0.8,0.5579668200874278,0.8230561884358599,0.013332534960350145,0.019052273060096422,0.015853698571114766,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4, BILL_AMT2",FALSE,exploratorio,5,1
19,XGBoost,0.7857011843901882,0.3743025799506927,0.949006420055029,0.6756633433591309,0.48161501407180346,0.5958563592604945,150,3,0.1,0,0.8,1,0.8,0.5576316803050257,0.8218656782398749,0.013380264817100179,0.01758293720011925,0.014432331510733653,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4",FALSE,exploratorio,5,1
22,XGBoost,0.7856910917726895,0.3699989582971631,0.9512075817792723,0.6828429092520751,0.47978250253787935,0.5930906946502146,100,5,0.05,0,0.8,1,0.8,0.5590749436387342,0.8226275943369492,0.012725521071172927,0.018204949693873568,0.015013263109645304,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4, BILL_AMT2, BILL_AMT4, BILL_AMT6",FALSE,exploratorio,5,1
23,XGBoost,0.7854990593977867,0.3697832100651643,0.9505961479669826,0.680116425883893,0.4788146915067656,0.5926729886359081,200,3,0.05,0,0.8,1,0.8,0.5591571236426452,0.8221037621428005,0.0127173140375272,0.01877770574299049,0.016435818881232415,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4, BILL_AMT2, BILL_AMT4, BILL_AMT6, PAY_6",FALSE,exploratorio,5,1
21,XGBoost,0.785478887219902,0.37473453939372897,0.9504738612045246,0.6823270074452151,0.4835975122308066,0.5966316774473579,150,5,0.05,0,0.8,1,0.8,0.5584764639296238,0.823103807483479,0.013576782764453359,0.017996518567356137,0.015294274968824437,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6, PAY_4, BILL_AMT2, BILL_AMT4",FALSE,exploratorio,5,1
16,XGBoost,0.7854477005003461,0.3719355996157274,0.9497401406297769,0.6774549574313801,0.48010564210464696,0.5941916315832347,200,3,0.05,0,0.8,1,0.8,0.5546158493540201,0.8219133539633421,0.013693849711732575,0.01899213243310205,0.015150477117874152,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3",FALSE,exploratorio,5,1
18,XGBoost,0.7851708737126761,0.3706448140560436,0.9506572913482115,0.6807663282549639,0.4797444118263405,0.5933762290333505,200,3,0.05,0,0.8,1,0.8,0.5570650835963769,0.8223418573808957,0.013689200780709778,0.021269213362857246,0.017575578167048325,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5, PAY_AMT6",FALSE,exploratorio,5,1
14,XGBoost,0.7841137328744066,0.37128928087780827,0.9499847141546928,0.6781526283700441,0.4797419537765015,0.5937676593633187,200,3,0.05,0,0.8,1,0.8,0.5530071404379644,0.8219609616757915,0.014424386021238463,0.01686857499502235,0.013881532908745555,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5",FALSE,exploratorio,5,1
15,XGBoost,0.7839324036166476,0.37236570714260914,0.9499847141546928,0.6788895681781916,0.48084514316884125,0.5946645408390401,100,3,0.1,0,0.8,1,0.8,0.5556689544166662,0.8221990342435475,0.014581329083212446,0.014296310234052206,0.011772929510497096,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5",FALSE,exploratorio,5,1
