Cenario,RegraThreshold,Threshold,ROC,PRAUC,Sens,Spec,Precision,F1,GMean,Accuracy,TP,FP,FN,TN
GLM_Top13_SemBalanceamento,Padrao_0.50,0.5,0.7293626348664933,0.5053229524332804,0.24860094705122687,0.9708346071537756,0.7077205882352942,0.3679515769353297,0.49127426430511745,0.8110566163516023,1155,477,3491,15878
GLM_Top13_SemBalanceamento,Youden,0.2681227528103044,0.7293626348664933,0.5053229524332804,0.5236762806715454,0.8553959033934576,0.5070862859524802,0.5152477763659465,0.6692910765808568,0.7820103804580735,2433,2365,2213,13990
NNET_Top19_SemBalanceamento,Padrao_0.50,0.5,0.7806533971754811,0.5500382587310803,0.37236332328885063,0.9487618465301131,0.6736760124610592,0.4796229553645689,0.5943770808027673,0.8212466073044141,1730,838,2916,15517
NNET_Top19_SemBalanceamento,Youden,0.21913609786196267,0.7806533971754811,0.5500382587310803,0.6356005165733964,0.7924793641088352,0.46525917756420354,0.537250977895024,0.7097184605189105,0.7577734393600305,2953,3394,1693,12961
RF_Top18_SemBalanceamento,Padrao_0.50,0.5,0.7736271856686021,0.5536699517820522,0.3820490744726647,0.9464995414246408,0.6698113207547169,0.48656798245614036,0.6013395661272303,0.8216275415456407,1775,875,2871,15480
RF_Top18_SemBalanceamento,Youden,0.2775,0.7736271856686021,0.5536699517820522,0.5764098148945329,0.8453072454906756,0.5142089093701997,0.5435356200527705,0.6980282178410038,0.7858197228703395,2678,2530,1968,13825
SVM_Radial_Top18_SemBalanceamento,Padrao_0.50,0.5,0.7328512622107451,0.5113599022689069,0.32006026689625483,0.9620299602568022,0.7054079696394687,0.44033165531536866,0.5548941933756251,0.8200085710204276,1487,621,3159,15734
SVM_Radial_Top18_SemBalanceamento,Youden,0.1590922320830246,0.7328512622107451,0.5113599022689069,0.5871717606543263,0.7858758789361052,0.43788121990369183,0.501655020228025,0.6792967860152727,0.7419170515689729,2728,3502,1918,12853
XGBoost_Top17_SemBalanceamento,Padrao_0.50,0.5,0.786884501258335,0.5613074952670659,0.37408523461041754,0.9505961479669826,0.6826394344069128,0.48331479421579526,0.5963254002908042,0.8230560449502404,1738,808,2908,15547
XGBoost_Top17_SemBalanceamento,Youden,0.2278178073465824,0.786884501258335,0.5613074952670659,0.6293585880327163,0.8070926322225619,0.48100016450074023,0.5452680652680651,0.712706587192233,0.767772963192229,2924,3155,1722,13200
avNNet_Top17_SemBalanceamento,Padrao_0.50,0.5,0.7746987017099222,0.544624379911808,0.36547567800258285,0.9506572913482115,0.6778443113772455,0.47489861557824076,0.5894422092992548,0.8211989905242607,1698,807,2948,15548
avNNet_Top17_SemBalanceamento,Youden,0.2344239519687426,0.7746987017099222,0.544624379911808,0.590830822212656,0.8282482421277897,0.4942383867482895,0.538235294117647,0.6995388408748645,0.7757249654778344,2745,2809,1901,13546
