Variavel,Importancia_SHAP,Posicao
PAY_0,0.08918485785856463,1
BILL_AMT3,0.03977497901103005,2
BILL_AMT1,0.0373450201723641,3
LIMIT_BAL,0.03143180293913998,4
PAY_3,0.020814346672629935,5
PAY_2,0.020280425184121667,6
PAY_4,0.01900685718574818,7
PAY_AMT2,0.015425293566509412,8
PAY_5,0.013549231276070864,9
BILL_AMT5,0.011976708932624586,10
PAY_AMT1,0.011252536722977895,11
SEX,0.010212821826203514,12
MARRIAGE,0.007176758263347991,13
PAY_AMT5,0.006700921906151358,14
EDUCATION,0.006513534540382917,15
AGE,0.00537318156628671,16
PAY_AMT4,0.0034205820139135905,17
PAY_AMT3,0.002800278885485097,18
PAY_AMT6,0.002786204084235399,19
