Variavel_Original,Importancia,Posicao
PAY_0,0.6501322959198237,1
BILL_AMT1,0.2542157070301031,2
PAY_AMT2,0.16884361923040947,3
PAY_AMT1,0.14304659192666988,4
EDUCATION,0.136271142929129,5
PAY_2,0.11123551281406224,6
LIMIT_BAL,0.09133181449411333,7
MARRIAGE,0.08637917715590769,8
PAY_3,0.07546137055277019,9
BILL_AMT3,0.07524307940287976,10
SEX,0.07127516597145447,11
BILL_AMT5,0.06977127930702094,12
PAY_AMT4,0.06917159884606683,13
AGE,0.06291148939387729,14
PAY_5,0.04801120980443648,15
PAY_AMT3,0.04779108010978411,16
PAY_AMT6,0.04318375419993641,17
PAY_AMT5,0.04020724555916022,18
PAY_4,0.031578603433163405,19
BILL_AMT2,0.001364470954388619,20
BILL_AMT4,0,21
BILL_AMT6,0,22
PAY_6,0,23
