Variavel,Importancia_SHAP,Posicao
PAY_0,0.08008245269435751,1
LIMIT_BAL,0.023174919241690888,2
PAY_3,0.017987529905509364,3
PAY_AMT1,0.01724924746542344,4
BILL_AMT1,0.013768281301712385,5
PAY_AMT3,0.013527719353523713,6
PAY_2,0.013051366611554031,7
PAY_AMT2,0.012314314699131565,8
PAY_AMT4,0.01068380408830529,9
PAY_6,0.010082538362015213,10
BILL_AMT3,0.009029295268796917,11
PAY_4,0.00888895151623822,12
PAY_5,0.007695502406966057,13
MARRIAGE,0.00686487070751798,14
SEX,0.006740200363581214,15
BILL_AMT2,0.006038358448369095,16
BILL_AMT4,0.005473002162169934,17
PAY_AMT6,0.005296240493366646,18
AGE,0.005114275972373678,19
PAY_AMT5,0.004553597239738888,20
EDUCATION,0.0024839243493808088,21
BILL_AMT5,0.002163318838904018,22
BILL_AMT6,0.0014415123004287175,23
